//item    name  prof lbs range speed APR type #dice die +x bonus THAC0 crit AC       STR DEX LOOK
//dagger
DAGG01,   -,    -,   1,  1,    2,    2,  P,   1,    4,  0, N,    2,    2,   -,       -,  -,  -
//small sword (short sword)
SW1H07,   @,    91,   1,  1,    3,    -, P,   1,    4,  2, N,    1,    1,   0/1/1/1, -,  -,  SS  
//arming sword (long sword)
SW1H04,   @,    90,   2,  1,    6,    -, PS,  1,    8,  0, Y,    0,    -,   0/2/2/2, 10, -,  S1
//bastard sword (prohibit offhand?)
SW1H01,   -,    90,  3,  1,    8,    -,  PS,  2,    4,  1, Y,    -1,   -,   0/2/2/2, 14, -,  S1
//scimitar
SW1H56,   @,    95,  2,  1,    5,    -,  S,   1,    8,  0, Y,    1,    -,   0/2/2/2, 8,  -,  SC
//long sword (two-handed)
HEMALSW0, -,    89,  3,  1,    5,    -,  S,   1,    10, 0, Y,    1,    -,   0/3/3/3, 8,  0,  S2
//great sword (two-handed sword)
SW2H01,   @,    93,  6,  2,    9,    -,  S,   2,    6,  0, Y.    0,    -,   0/3/3/3, 14, -,  S2
//ninjato
SW1H48,   -,    95,  1,  1,    5,    -,  PS,  1,    8,  0, N,    0,    -,   2/1/1/1, 9,   -,  SS
//wakizashi
SW1H46,   -,    95,  2,  1,    6,    -,  S,   1,    6,  2, Y,    0,    -,   0/1/1/1, 8,   -,  SS
//katana
SW1H43,   -,    94,  3,  1,    6,    -,  S,   2,    4,  2, Y,    0,    -,   0/2/2/2, 8,   -,  S3
//axe
AX1H01,   -,    92,  3,  1,    7,    -,  S,   2,    4,  1, Y,    0,    -,   -,       10,  -,  AX
//warhammer
HAMM01,   -,    97,  3,  1,    7,    -,  CP,  1,    6,  0, Y,    1,    -,   -,       10,  -,  WH
//mace
BLuN04,   -,    97,  3,  1,    7,    -,  C,   1,    10, 0, Y,    0,    -,   -,       10,  -,  MC
//morningstar (prohibit offhand?)
BLUN06,   -,    101, 6,  1,    9,    -,  C,   1,    12, 0, Y,    0,    -,   -,       14,  -,  MS
//flail
BLUN02,   -,    100, 5,  1,    10,   -,  C,   1,    12, 0, N,    1,    -1,  -,       14,  6,  -
//club
BLUN01,   -,    115, 4,  1,    9,    -,  C,   1,    10, 0, Y,    0,    -1,  -,       12,  -,  CL
//quaterstaff
STAF01,   -,    102, 2,  2,    6,    -,  C,   1,    6,  0, Y,    0,     -,  0/3/3/3, 6,   -,  -
//spear
SPER01,   -,    98,  2,  2,    5,    -,  P,   2,    4,  0, Y,    0,     -,  0/3/3/3, 5,   -,  SP
//halberd
HALB01,   @,    100, 6,  2,    10,   -,  CP,  2,    6,  0, Y,    0,     -,  0/2/2/2, 10,  -,  HB
//2H Axe (IWD)
2HAXE,    -,    100, 4,  1,    7,    -,  S,   2,    6,  0, Y,    0,     -,  0/2/2/2, 10,  -,  HB     


//damage type: 1 - piercing; 2 - crushing; 3 - slashing; 6 - piercing/crushing; 7 - piercing/slashing 8 - crushing/slashing
